Modern English Word,Semantic Field,PIE Root,Proto-Germanic,"Old English
(Anglo-Saxon)
450–1150 CE","Old Norse
800–1300 CE","Middle English
1150–1500 CE","Classical Latin
75 BCE–200 CE","Vulgar / Medieval Latin
200–1500 CE","Ancient Greek
800–300 BCE","Old French /
Anglo-Norman
900–1400 CE",Sanskrit,Arabic,Persian / Avestan,Hebrew / Aramaic,"Celtic
(Old Irish / Welsh)",Meaning Drift Notes,Brand Name Candidates,Tone / Register,"Syllables
(Mod. EN)"
Abundance,Plenty / Overflow,"*wed- (water, wave)",—,—,—,habundance,abundantia,—,perisseia (περισσεία),abondance,pūrṇatā (पूर्णता),—,—,—,—,"ab+unda=overflow from waves; rich watery root gives flooding, overflowing imagery",ABUNDA · UNDHA · ABUNDIS,Latin,3
Accomplishment,Achievement / Completion,*pleh₁- (to fill),—,—,—,acomplisshment,complementum,—,plērōsis (πλήρωσις),acomplissement,sampūrti (संपूर्ति),—,—,—,—,From à chef=to a head; the completion metaphor via Latin caput (head); brought to its crown,COMPLEN · PLEROS · PLENOR,French/Latin,4
Achievement,Mastery / Attainment,*kaput- (head),—,—,—,achevement,—,—,—,achever (to finish),siddhi (सिद्धि),—,—,—,—,"Old French achever=to finish, from à chef=to a head; reaching the very top",ACHEV · KAPHOS · SIDDH,French,3
Acme,Peak / Summit / Prime,"*ak- (sharp, pointed)",—,—,—,acme,—,—,akmē (ἀκμή),—,agra (अग्र),—,—,—,—,"Directly from Greek; the sharpest/highest point; same root as acid, acute, acne",AKME · AKRA · AKMIS,Greek,2
Actualization,Realization / Becoming,"*ag- (to drive, do)",—,—,—,—,actualis,actualizare,energeia (ἐνέργεια),—,sākṣātkāra (साक्षात्कार),—,—,—,—,From actus (done); making real what was potential; Aristotle's energeia is the Greek parallel,AKTIV · AGEIN · ACTUS,Latin,6
Acumen,Sharpness / Insight,"*ak- (sharp, pointed)",—,—,—,acumen,acumen,—,oxytēs (ὀξύτης),—,tīkṣṇatā (तीक्ष्णता),—,—,—,—,Latin acuere=to sharpen; mental sharpness as a pointed weapon; the cutting edge of mind,ACUMEN · AKUTOS · OXYN,Latin,3
Adamantine,Indestructible / Unyielding,*n-dm̥H- (untameable),—,—,—,adamauntyne,—,—,adamantinos (ἀδαμάντινος),adamantin,vajra (वज्र),—,—,—,—,Greek a-daman=unconquerable; shares root with diamond; the hardest imaginable substance,ADAMAN · VAJRIN · DIAMIS,Greek,5
Adaptation,Fitting / Adjusting,"*ap- (to take, reach)",—,—,—,—,adaptatio,adaptare,harmogē (ἁρμογή),adaptation,anukūlana (अनुकूलन),—,—,—,—,Latin aptare=to fit; sense of adjusting precisely to fit a changed context,ADAPTO · APTIS · HARMOG,Latin,4
Advancement,Progress / Forward Motion,*ab-ante- (from before),—,—,—,avancement,—,abantiare,proagōgē (προαγωγή),avancement,pragatī (प्रगति),—,—,—,—,Via French from Vulgar Latin ab ante (from before); moving ahead through time,AVANT · ABANTIS · PROAG,French/Latin,3
Aegis,Protection / Divine Authority,*ayg- (shine) or *aig- (goat),—,—,—,egis,—,—,aigis (αἰγίς),egide,kavaca (कवच),—,—,—,—,Shield of Zeus and Athena; possibly from goat-skin or divine radiance; supreme patronage,AEGIS · AIGOS · EGIDA,Greek,2
Agility,Nimbleness / Speed,"*ag- (to drive, do)",—,—,—,agilitee,agilitas,—,elaphria (ἐλαφρία),agilité,spandana (स्पन्दन),—,—,—,—,"Latin agilis=nimble; same root as act, agitate, agony; driven, responsive motion",AGIL · AGEIS · LAPHIS,Latin,4
Alacrity,Eagerness / Ready Energy,*al- (beyond),—,—,—,alacryte,alacritas,—,prothumia (προθυμία),alacrité,utsāha (उत्साह),—,—,—,—,"Latin alacer=lively, eager; the immediate willingness to spring into motion",ALACRIS · ALACER · PROTH,Latin,4
Alchemical,Transformative / Mysterious,—,—,—,—,alchemical,—,alchimia,khēmeia (χημεία),alchimique,rasāyana (रसायन),al-kīmiyā (الكيمياء),kīmīyā (کیمیا),—,—,Arabic via Greek; possibly from Khemia (Egypt) or khymos (juice); transformation of base to gold,ALKHEM · KHEMIA · RASAYN,Arabic/Greek,4
Alignment,Order / Harmony / Direction,"*lino- (flax, thread)",—,—,—,alinement,lineamentum,—,euthygammia (εὐθυγραμμία),alignement,samarpaṇa (समर्पण),—,—,—,—,From Latin linea (flax thread) via French ligne; the thread pulled taut becomes a line of order,ALIGN · LINEA · LINEIS,French/Latin,3
Alliance,Union / Bond / Partnership,*leig- (to bind),—,—,—,alliance,—,alligare,symmachia (συμμαχία),alliance,sandhi (सन्धि),—,—,—,—,Latin alligare=to bind to; a binding together of parties for common purpose,ALLIG · LIGA · SANDHI,French/Latin,3
Ambrosia,Divine Food / Immortality,*mer- (to die) + neg. *n-,—,—,—,ambrosia,ambrosia,—,ambrosia (ἀμβροσία),ambroisie,amṛta (अमृत),—,—,—,—,Greek a-mbrotos=not-mortal; food that grants immortality; exact parallel to Sanskrit amṛta,AMBROS · AMRIT · AMRIA,Greek,4
Amplification,Expansion / Enlargement,*amp- (large),—,—,—,amplificacion,amplificatio,—,auxēsis (αὔξησις),amplification,vistāra (विस्तार),—,—,—,—,Latin amplus+facere=to make large; the making-large of a signal or idea,AMPLI · AMPLOS · AUXEN,Latin,5
Apex,Tip / Peak / Pinnacle,"*ap- (off, away, tip)",—,—,—,apex,apex,—,koruphē (κορυφή),apex,agra (अग्र),—,—,—,—,"Latin apex=tip of a priest's cap, then any peak; the absolute highest tip",APEX · APIX · APEK,Latin,2
Apogee,Farthest / Highest Point,*ghdhem- (earth),—,—,—,apogee,—,—,apogaion (ἀπόγαιον),apogée,uttamabindu (उत्तमबिन्दु),—,—,—,—,Greek apo+gaia=away from earth; the farthest point from center; beyond gravity's pull,APOG · APOGEA · GAION,Greek,3
Apotheosis,Deification / Ultimate Perfection,*dhes- (sacred),—,—,—,apotheosis,apotheosis,—,apotheōsis (ἀποθέωσις),apothéose,divyatā (दिव्यता),—,—,—,—,Greek apo+theos=from god; elevation to divine status; the supreme perfection of a form,APOTH · THEOS · APODIA,Greek,5
Archetypal,Original / Primal Pattern,*ar- (to fit) + *tup- (strike),—,—,—,archetypal,—,archetypum,archetupon (ἀρχέτυπον),archétype,mūla-rūpa (मूलरूप),—,—,—,—,Greek arkhe+typos=first-mold; the original impression from which all copies derive,ARKHE · TYPOS · ARKEIP,Greek,4
Arrival,Reaching / Coming to Shore,"*rei- (to scratch, flow)",—,—,—,arrivaille,—,arripare,aphixis (ἄφιξις),arriver,āgamana (आगमन),—,—,—,—,Vulgar Latin ad+ripa=to the shore; the reaching of a destination; landfall,ARRIV · RIPA · APHIX,French/Latin,3
Ascend,Rise / Climb Upward,"*skand- (to spring, jump)",—,—,—,ascenden,ascendere,—,anabainō (ἀναβαίνω),ascendre,ārohana (आरोहण),—,—,—,—,"Latin ad+scandere=to climb toward; active upward motion; same root as scan, scan, descend",ASCEN · SKAND · ANABL,Latin,2
Ascendancy,Rising Power / Dominance,"*skand- (to spring, jump)",—,—,—,ascendance,ascendentia,—,—,ascendance,ārohaṇa-śakti (आरोहणशक्ति),—,—,—,—,"Derived from ascend; the state of being in the climbing, dominant position",ASCEND · SKANDOR · KADIS,Latin,4
Ascension,Rising / Elevation,"*skand- (to spring, jump)",—,—,—,ascensioun,ascensio,—,anabasis (ἀνάβασις),ascension,uttaraṇa (उत्तरण),—,—,—,—,Latin ascensio=a climbing; the completed act of rising to a higher realm,ASCENS · ANABAS · SKANDA,Latin,3
Aspiration,Breath / Desire / Aim,*speis- (to blow),—,—,—,aspiracion,aspiratio,—,ephesis (ἔφεσις),aspiration,abhīpsā (अभीप्सा),—,—,—,—,Latin ad+spirare=to breathe toward; desire as breath reaching forward to its goal,ASPIR · SPIROS · EPHES,Latin,4
Ataraxia,Undisturbed Peace / Equanimity,"*dhrew- (firm, solid)",—,—,—,ataraxia,—,—,ataraxia (ἀταραξία),ataraxie,śānti (शान्ति),—,—,—,—,Greek a+tarassein=not-disturbed; the Epicurean ideal of the untroubled mind,ATARAS · TARAX · SHANT,Greek,5
Attainment,Reaching / Achieving / Touching,*tag- (to touch),—,—,—,atteignement,attingere,—,ephapsis (ἐφαψία),atteindre,prāpti (प्राप्ति),—,—,—,—,Latin ad+tangere=to touch upon; the touching of a goal; arrival at the intended point,ATTAIN · TANG · PRAPTIS,French/Latin,3
Aureate,Golden / Radiant,"*aus- (gold, dawn)",—,—,—,aureate,aureatus,—,chryseos (χρύσεος),doré,sauvarṇa (सौवर्ण),dhahab (ذهب),zarīn (زرین),—,—,Latin aurum=gold; same PIE root gives aurora (dawn); gold as solidified dawn-light,AUREA · AUROS · AURET,Latin,3
Awakening,Consciousness / Rising,"*weg- (to be strong, lively)",*wakaną,awacan / wæcnan,vakna,awakening,—,—,anypnisis (ἀνύπνισις),—,prabodhana (प्रबोधन),yaqẓa (يقظة),bīdārī (بیداری),—,—,Pure Old English root; the Germanic word for waking is the truest form here,WAKEN · WAKNA · VAKNIR,Germanic,4
Bastion,Stronghold / Defense,*bhagh- (to fight),—,—,—,bastioun,—,bastire,—,bastion,durgā (दुर्ग),—,—,—,—,Via Italian bastione from Germanic; a projecting part of a fortification; armed strength,BAST · BASTIR · BASTIO,French/Italian,3
Beacon,Signal / Light / Guide,*bha-1 (to shine),*baukną,bēacen (sign),—,bekne,—,—,phanos (φανός),—,—,manāra (منارة),fanār (فانار),—,—,Old English root directly; a shining sign for others to navigate by; related to beckon,BEACEN · BAUK · BAKNA,Germanic,2
Beatific,Blessed / Divinely Happy,"*deu-2 (to do, perform)",—,—,—,beatifik,beatificus,—,makarios (μακάριος),béatifique,ānandita (आनन्दित),—,—,—,—,Latin beatus+facere=to make blessed; conveying the fullness of divine happiness,BEATIF · BEATA · MAKARIS,Latin,4
Becoming,Transformation / Being,"*gwa- (to come, go)",*bikwemaną,becuman,verða,bicomen,—,—,genesis (γένεσις),—,sambhavana (संभवन),—,—,—,—,Pure Germanic; Old English becuman=to come to be; the philosophical word for emergence,BECUM · KWEMA · WERTHA,Germanic,3
Belonging,Connection / Membership,"*legh- (to lie, belong)",*bilangijaną,belimpan,heyra til,belongen,—,—,—,—,sva-bhāva (स्वभाव),—,—,—,—,Germanic; the deep sense of fitting within a place or community; inherent relatedness,BELONG · LANGIR · BILANG,Germanic,3
Beneficence,Generosity / Goodness,*deu-2 (to do) + bene,—,—,—,beneficence,beneficentia,—,euergesia (εὐεργεσία),bienfaisance,kalyāṇa (कल्याण),—,—,—,—,Latin bene+facere=to do well; the active performance of goodness; virtue in action,BENEFIC · BENEKOR · EUERG,Latin,4
Bliss,Joy / Happiness / Delight,"*bhleidh- (gentle, mild)",*blithsjō,bliss / bliths,blíðr (gentle),blisse,—,—,—,—,ānanda (आनन्द),—,—,—,—,Pure Old English/Germanic; blithe+joy merged; one of the most native joy-words in English,BLISS · BLITH · BLIDHA,Germanic,1
Blossom,Flowering / Growth / Opening,"*bhel-3 (to thrive, bloom)",*blōstmaz,blōstm / blōsma,blómstr,blosme,flos,—,anthos (ἄνθος),—,puṣpa (पुष्प),—,—,—,—,"Germanic; same PIE root as bloom, flower, flourish; thriving expressed as opening petals",BLOSM · BLOST · BLOMA,Germanic,2
Breakthrough,Overcoming / New Advance,*bhreg- (to break),*brekaną + *þurhw-,brecan + þurh,brjóta + í gegnum,brekthrough,—,—,—,—,—,—,—,—,—,Germanic compound; literally breaking new ground; the forceful penetration of a barrier,BREKAN · BREKUR · THRUBREC,Germanic,3
Breakthroughs,Overcoming / New Advances,*bhreg- (to break),*brekaną + *þurhw-,brecan + þurh,brjóta + í gegnum,brekthrough,—,—,—,—,—,—,—,—,—,Plural of Breakthrough; same roots apply throughout,BREKAN · BREKUR · THRUBREC,Germanic,3
Brilliance,Radiance / Excellence / Light,"*bhrel- (to shine, glitter)",—,—,—,brilliance,beryllus,—,bēryllos (βήρυλλος),briller,tejasā (तेजस्),—,—,—,—,Via Italian brillare from Latin beryllus (bright gem); light expressed through gemstone imagery,BRILL · BERYL · BRILLOS,French/Italian,3
Care,Concern / Attention / Love,*gar- (to cry out),*karō,caru / cearu (sorrow),kǫr (sickbed),care,cura,—,merimnē (μέριμνα),—,sevā (सेवा),—,—,—,—,OE root meant grief/sorrow before softening to tender concern; radical semantic warmth,CARU · KARA · KAROS,Germanic,1
Catalyst,Change Agent / Trigger,*leu-1 (to loosen),—,—,—,catalyst,—,—,katalusis (κατάλυσις),—,preraṇā (प्रेरणा),—,—,—,—,Greek kata+lusis=a loosening-down; the agent that loosens transformation in another body,KATAL · LUSIS · KATALYN,Greek,3
Catalyze,Trigger / Activate Change,*leu-1 (to loosen),—,—,—,—,—,—,kataluein (καταλύειν),—,prerayati (प्रेरयति),—,—,—,—,Verb form; to actively perform the catalytic loosening of transformation,KATALY · LUSYN · LUKON,Greek,3
Celebration,Honoring / Festivity,"*kwel-1 (to revolve, frequent)",—,—,—,celebracioun,celebratio,—,heortē (ἑορτή),célébration,utsava (उत्सव),—,—,—,—,"Latin celeber=frequented, famous; celebration=the repeated honoring; frequency as reverence",CELEB · CELEBRA · UTSAV,Latin,5
Celerity,Speed / Swiftness,"*kel-1 (to drive, set in motion)",—,—,—,celerite,celeritas,—,tachos (τάχος),célérité,tvaritā (त्वरिता),—,—,—,—,"Latin celer=swift; the quality of driven, propelled forward motion",CELER · CELIR · TACHOS,Latin,4
Champion,Victor / Defender / Leader,"*kamp- (field, battle-ground)",—,—,—,champioun,—,campio,—,champion,vīra (वीर),—,—,—,—,Medieval Latin campio=one who fights in the field (campus); the field-warrior; battle-proven leader,CAMPI · CAMPO · VIRON,French/Latin,3
Citadel,Stronghold / Fortified Center,"*kei-1 (to lie, dwell)",—,—,—,citadel,civitas,—,polis (πόλις),citadelle,nagara (नगर),—,—,—,—,Via Italian cittadella (small city); the fortified heart of a city; protected center,CITAD · CIVIT · POLIS,French/Italian,3
Clarity,Clearness / Brightness / Truth,*kele-2 (to shout; clear sound),—,—,—,clarite,claritas,—,saphēneia (σαφήνεια),clarté,sphuṭatā (स्फुटता),—,—,—,—,Latin clarus=clear+bright; the word captures both visual and intellectual clarity as one thing,CLAR · CLARITH · SAPHON,Latin,3
Coalition,Alliance / Union of Parts,"*al-2 (to grow, nourish)",—,—,—,coalicioun,—,coalitio,sympraxis (συμπραξία),coalition,saṃgha (संघ),—,—,—,—,Latin coalescere=to grow together; organic unity growing from once-separate parts,COAL · COALESK · ALESCO,Latin,4
Coexistence,Mutual Being / Harmony,*es- (to be),—,—,—,coexistence,coexistentia,—,symbiōsis (συμβίωσις),coexistence,saha-astitva (सहास्तित्व),—,—,—,—,Latin co+existere=to stand out together; the mutual fact of being alongside,COEXIS · EXISTAR · SYNON,Latin,4
Cohesion,Binding / Sticking Together,*ghais- (to adhere),—,—,—,cohesioun,cohaesio,—,syndesis (σύνδεσις),cohésion,sāmarasya (सामरस्य),—,—,—,—,Latin co+haerere=to cling together; the invisible sticking force between parts,COHER · HAESIS · SYNDEX,Latin,3
Collaborate,Work Together / Co-create,"*leb- (to hang, allow)",—,—,—,collaboren,collaborare,—,synergazomai (συνεργάζομαι),collaborer,sahakārya (सहकार्य),—,—,—,—,Latin col+laborare=to work together; the shared labor of two minds on one thing,COLLAB · LABORA · SYNERG,Latin,4
Collaboration,Co-creation / Partnership,"*leb- (to hang, allow)",—,—,—,collaboracioun,collaboratio,—,synergasia (συνεργασία),collaboration,sahakārya (सहकार्य),—,—,—,—,Noun of collaborate; the act and quality of working-together,COLLAB · LABORIS · SYNON,Latin,5
Confidence,Trust / Assurance / Self-belief,"*bheidh- (to trust, persuade)",—,—,—,confidence,confidentia,—,pistis (πίστις),confidence,viśvāsa (विश्वास),—,—,—,—,Latin con+fidere=to trust firmly; total faith directed inward; self as the trusted one,CONFID · FIDELIS · VISWAS,Latin,3
Connection,Link / Bond / Relationship,"*ned- (to bind, knot)",—,—,—,conneccioun,connexio,—,syndeos (σύνδεος),connexion,sambandha (सम्बन्ध),—,—,—,—,Latin con+nectere=to knot together; the knot as the bond between two things,CONNEX · NEXIS · SAMBAN,Latin,3
Conquest,Victory / Achievement,*kwer- (to seek out),—,—,—,conqueste,—,conquirere,kratos (κράτος),conquête,vijaya (विजय),—,—,—,—,Latin con+quaerere=to seek out together; the active seeking and securing of victory,CONQUIR · QUAERE · KRATOR,French/Latin,2
Consciousness,Awareness / Mind / Knowing,"*skei- (to cut, separate)",—,—,—,conscience,conscientia,—,syneidēsis (συνείδησις),conscience,cit (चित्),—,—,—,—,Latin con+scire=to know within; the internal witness; Sanskrit cit=pure awareness,CONSCIO · SCIENT · CHITTA,Latin,4
Continuity,Persistence / Unbroken Flow,*ten- (to stretch),—,—,—,continuite,continuitas,—,synecheia (συνέχεια),continuité,sāntatā (सान्तता),—,—,—,—,Latin continuus=unbroken; stretching without interruption through time; the taut thread,CONTINU · TENUIS · SYNECH,Latin,5
Convergence,Coming Together / Meeting Point,*wer-3 (to turn),—,—,—,convergence,convergentia,—,sygklisis (σύγκλισις),convergence,samāgama (समागम),—,—,—,—,Latin con+vergere=to incline together; multiple forces turning toward a single point,CONVERG · VERGIS · SYNCL,Latin,3
Cooperate,Work Together / Collaborate,"*op-1 (to work, produce)",—,—,—,cooperen,cooperari,—,synprattō (συμπράττω),coopérer,sahakārya (सहकार्य),—,—,—,—,Latin co+operari=to work with; the mutual work of two forces on one task,COOPER · OPERIS · SYNPRA,Latin,4
Coordinate,Arrange / Order Together,"*ar- (to fit, join)",—,—,—,coordinaten,coordinare,—,syntassō (συντάσσω),coordonner,samāyojana (समायोजन),—,—,—,—,Latin co+ordinare=to order together; fitting parts into their proper arrangement,COORDIN · ORDINAK · SYNTA,Latin,4
Cornucopia,Abundance / Horn of Plenty,*ker-1 (horn) + *op-1 (produce),—,—,—,cornucopia,cornu copiae,—,keras amaltheias (κέρας Ἀμαλθείας),corne d'abondance,pūrṇa-kalaśa (पूर्णकलश),—,—,—,—,Latin: horn of plenty; cornu=horn+copia=plenty; Amalthea's overflowing goat-horn,CORNU · KOPION · PURNKAL,Latin,4
Coruscating,Sparkling / Flashing / Brilliant,"*ker-3 (to shine, flash)",—,—,—,coruscat,coruscare,—,stilbōn (στίλβων),—,bhāsura (भासुर),—,—,—,—,"Latin coruscare=to flash, glitter; rapid brilliant light in motion; the verb form of brilliance",CORUSK · CORSCA · STILBON,Latin,4
Courage,Bravery / Heart / Valor,*kerd- (heart),—,—,—,corage,cor (heart),—,andreia (ἀνδρεία),corage,śaurya (शौर्य),—,—,—,—,Old French from Latin cor=heart; courage=what comes from the heart; emotion as source of action,CORAGE · CORDIS · ANDREIA,French/Latin,2
Craft,Skill / Making / Art,*grep- (to grasp),*kraftiz,"cræft (strength, skill)",kraptr (power),craft,ars,—,technē (τέχνη),—,kauśala (कौशल),—,—,—,—,Old English/Norse root; strength that became skill; one of the most Germanic mastery-words,KRAEFT · KRAFT · KRAPTR,Germanic,1
Creativity,Making / Invention / Originality,*ker-1 (to grow),—,—,—,creativite,creativus,—,poiēsis (ποίησις),créativité,sṛjana (सृजन),ibdā' (إبداع),—,—,—,"Latin creare=to make, produce; same root as crescere (to grow); creation as growth",CREATIV · CREATIX · POIESI,Latin,5
Culmination,Peak / Completion / Crown,"*kel-2 (to project, ridge)",—,—,—,culminacioun,culminatio,—,akroteleuton (ἀκροτελεύτιον),culmination,paryavasāna (पर्यवसान),—,—,—,—,"Latin culmen=peak, ridge of a roof; the highest ridge-point reached",CULMEN · KULMIS · AKROT,Latin,4
Cultivate,Grow / Tend / Develop,"*kwel-1 (to revolve, tend)",—,—,—,cultivaten,cultivare,—,geōrgein (γεωργεῖν),cultiver,kṛṣi (कृषि),—,—,—,—,"Latin colere=to till; same root as culture, cult, colony; to dwell and tend a living thing",CULTIV · KOLERE · GEORGON,Latin,3
Cultivation,Growing / Development / Tending,"*kwel-1 (to revolve, tend)",—,—,—,cultivacioun,cultivatio,—,geōrgia (γεωργία),culture,kṛṣi (कृषि),—,—,—,—,Noun of cultivate; the ongoing practice of tending and nurturing growth,CULTIVA · KOLEIS · KRSHI,Latin,4
Dedication,Commitment / Devotion,"*deik- (to show, pronounce)",—,—,—,dedicacioun,dedicatio,—,anathēma (ἀνάθημα),dédicace,nishthā (निष्ठा),—,—,—,—,"Latin dedicare=to declare, set apart for sacred use; a solemn pronouncement of purpose",DEDICAT · DIKEIN · NISHTH,Latin,4
Determination,Resolve / Focused Will,*ter-1 (to cross over),—,—,—,determinacioun,determinatio,—,prothesis (πρόθεσις),détermination,nirdhāraṇa (निर्धारण),—,—,—,—,Latin determinare=to set limits; setting limits paradoxically becomes focused will,DETERMIN · TERMIS · PROTH,Latin,5
Discipline,Training / Order / Mastery,"*dek-1 (to take, accept)",—,—,—,disciplyne,disciplina,—,paideia (παιδεία),discipline,anushāsana (अनुशासन),—,—,—,—,Latin discipulus=learner; discipline=the way of the learner; training as joyful acceptance,DISCIP · DISCIPL · PAIDEI,Latin,3
Discovery,Finding / Revealing / Uncovering,*ker-4 (to cover) neg.,—,—,—,discoverie,—,discooperire,apokalupsis (ἀποκάλυψις),découvrir,anveṣaṇa (अन्वेषण),—,—,—,—,Medieval Latin discooperire=to uncover; revealing what lay hidden under the covering,DISCOV · COOPERI · APOKAL,French/Latin,3
Dispatch,Speed / Sending / Efficiency,*dis- + *pak- (to fasten),—,—,—,despeche,—,—,—,dépêcher,—,—,—,—,—,Via Spanish despachar; dis+pacciare=to unfasten and send off quickly; speed of release,DESPACH · DESPIK · PEMPOS,Spanish/French,2
Dynamic,Power / Energy / Motion,"*deu-2 (to do, perform)",—,—,—,dynamic,—,—,dunamikos (δυναμικός),dynamique,śaktimat (शक्तिमत्),—,—,—,—,Greek dunamis=power; dynamic=of or relating to power in active motion,DYNAM · DUNAMOS · SHAKTIN,Greek,3
Efficiency,Effectiveness / Output,"*dhē-1 (to put, do)",—,—,—,efficience,efficientia,—,energeia (ἐνέργεια),efficacité,dakṣatā (दक्षता),—,—,—,—,Latin efficiens=effective; ex+facere=to make out; producing maximum output with minimum waste,EFFICI · EFFICIS · ENERGON,Latin,4
Effulgent,Radiant / Shining Forth,"*bhel-1 (to shine, flash)",—,—,—,effulgent,—,effulgere,eklampon (ἐκλάμπον),—,ujjvala (उज्ज्वल),—,—,—,—,Latin ex+fulgere=to shine forth; outward radiance bursting from an inner source,EFFULGN · FULGOR · EKLAMN,Latin,3
Élan,Enthusiasm / Spirit / Flair,"*el- (to go, move)",—,—,—,—,—,—,—,"élan (rush, ardor)",ūrjā (ऊर्जा),—,—,—,—,Pure French word from élancer=to dart forward; the spirit-rush that precedes all great action,ELAN · ELANCÉ · URJAS,French,2
Elation,Joy / Lifting / Exaltation,*bher-1 (to carry),—,—,—,elacioun,elatio,—,eparsis (ἔπαρσις),élation,harṣa (हर्ष),—,—,—,—,Latin ex+latus=carried out and up; the state of being lifted out of ordinary feeling,ELAT · ELATIO · EPARS,Latin,3
Elevation,Lifting / Rising / Height,"*legwh- (light, having little weight)",—,—,—,elevacioun,elevatio,—,hypsōsis (ὕψωσις),élévation,uttolana (उत्तोलन),—,—,—,—,Latin ex+levare=to lift by making light; raising through reduction of weight,ELEV · ELEVAR · HYPSOT,Latin,4
Elixir,Transformative Essence,—,—,—,—,elixir,—,elixir,xērion (ξήριον),élixir,rasāyana (रसायन),al-iksīr (الإكسير),—,—,—,Arabic al-iksīr possibly from Greek xērion (dry powder); the distilled transformative essence,ELIXIR · IKSIR · RASAYN,Arabic/Greek,3
Emergence,Arising / Coming Forth,"*mer-2 (to plunge, dip)",—,—,—,emergence,—,emergere,anodus (ἄνοδος),émergence,utpatti (उत्पत्ति),—,—,—,—,Latin e+mergere=to rise from water; surfacing from below into light and visibility,EMERG · MERGIS · ANODOS,Latin,3
Empowerment,Authority / Strength / Agency,"*poti- (powerful, lord)",—,—,—,empowerment,potestas,—,dynamōsis (δυνάμωσις),pouvoir,śakti (शक्ति),—,—,—,—,From Old French poer (power) via Latin potere; the act of making powerful from within,EMPOWER · POTIS · SHAKTIN,French/Latin,4
Empyrean,Highest Heaven / Divine Fire,*paəwr (fire),—,—,—,empyrean,—,empyreus,empureios (ἐμπύρειος),empyrée,agni-loka (अग्निलोक),—,—,—,—,Greek em+pur=in-fire; the highest heaven conceived as pure divine fire; fire as transcendence,EMPYRE · PUREOS · AGNIOX,Greek,4
Endurance,Persistence / Hardness / Staying,"*deru- (oak, firm, true)",—,—,—,endurance,—,indurare,karteria (καρτερία),endurance,dhairyatā (धैर्यता),—,—,—,—,Latin in+durus=to make hard; the hardness of oak wood as the metaphor for persistence,ENDUR · DURUS · KARTER,French/Latin,3
Energize,Activate / Invigorate / Charge,"*werg-1 (to work, do)",—,—,—,energisen,—,—,energeia (ἐνέργεια),énergiser,śakti (शक्ति),—,—,—,—,Greek en+ergon=at work; to put something into the state of active working,ENERGIZ · ERGON · SHAKTIV,Greek,3
Enlightenment,Wisdom / Light / Understanding,"*leuk- (light, brightness)",*leuhtą,lēoht (light),ljós (light),enlighcening,lumen,illuminatio,phōtismos (φωτισμός),—,bodha (बोध),—,—,—,—,Germanic lēoht; the metaphor of bringing light into the mind; Old English is the truest root,LEOHT · LEUKT · PHOTISM,Germanic,4
Entelechy,Perfection / Fulfilled Potential,*kwel-1 (to complete) + *segh-,—,—,—,entelechy,—,—,entelecheia (ἐντελέχεια),entéléchie,pūrṇatā (पूर्णता),—,—,—,—,Aristotle's term: en+telos+ekhein=having its end within itself; the fulfilled potential,ENTELECH · TELIKOS · PURNIS,Greek,4
Epiphany,Revelation / Manifestation,"*bha-1 (to shine, appear)",—,—,—,epiphanie,—,—,epiphaneia (ἐπιφάνεια),épiphanie,sphūrti (स्फूर्ति),—,—,—,—,Greek epi+phainein=to show upon; a sudden divine showing-forth of what was hidden,EPIPH · PHANEIA · SPHURT,Greek,4
Epochal,Era-defining / Historic,"*segh- (to hold, hold back)",—,—,—,epochal,—,—,epochē (ἐποχή),épocal,yuga-sthāpaka (युगस्थापक),—,—,—,—,"Greek epochē=a pause, a fixed point; a moment so significant it stops and restarts time",EPOCH · EPOKHON · YUGIST,Greek,3
