Modern English Word,Semantic Field,PIE Root,Proto-Germanic,"Old English
Eudaimonia,Flourishing / True Happiness,*gwei- (to live) + *deu-,—,—,—,eudaimonie,—,—,eudaimonia (εὐδαιμονία),eudémonie,sukha (सुख),—,—,—,—,Greek eu+daimon=well-spirit; Aristotle's highest human good; the flourishing of a whole life,EUDAIM · DAIMON · EUTHOS,Greek,5
Euphoria,Elation / Well-being / Joy,"*bher-1 (to carry, bear)",—,—,—,euphorie,—,—,euphoria (εὐφορία),euphorie,harṣātireka (हर्षातिरेक),—,—,—,—,Greek eu+pherein=to bear well; the state of carrying joy so effortlessly it overflows,EUPHOR · PHORON · EUBHOR,Greek,4
Evolution,Development / Unfolding,"*wel-3 (to turn, roll)",—,—,—,evolucioun,evolutio,—,anaptuxis (ἀνάπτυξις),évolution,vikāsa (विकास),—,—,—,—,Latin e+volvere=to unroll; evolution as the unrolling of a scroll revealing what was coiled within,EVOLV · VOLVERE · ANAPTY,Latin,4
Exaltation,Lifting / Glory / Raising High,"*al-2 (to grow, nourish)",—,—,—,exaltacioun,exaltatio,—,hyperepsōsis (ὑπερύψωσις),exaltation,unmāda (उन्माद),—,—,—,—,Latin ex+altus=out-high; lifting to the highest possible position; above all others,EXALT · ALTIOR · HYPEREL,Latin,4
Excel,Surpass / Rise Above / Lead,"*kel-2 (to project, be prominent)",—,—,—,excellen,excellere,—,hyperechō (ὑπερέχω),exceller,śreṣṭha (श्रेष्ठ),—,—,—,—,Latin ex+cellere=to rise and project out; to stand demonstrably higher than all around,EXCEL · CELLERE · HYPERON,Latin,2
Excellence,Superiority / Virtue / Quality,"*kel-2 (to project, be prominent)",—,—,—,excellence,excellentia,—,aretē (ἀρετή),excellence,śreṣṭhatā (श्रेष्ठता),—,—,—,—,Latin excellentia; Greek aretē=excellence-as-virtue; the full realization of a thing's potential,EXCELL · CELLENS · ARETE,Latin,3
Expansion,Growth / Extension / Spreading,"*spen-2 (to draw, stretch)",—,—,—,expansioun,expansio,—,ektasis (ἔκτασις),expansion,vistāra (विस्तार),—,—,—,—,Latin ex+pandere=to spread out; the spreading of something beyond all former limits,EXPANS · PANDORE · EKTAS,Latin,3
Exuberance,Overflow / Wild Vitality,"*eudh- (udder, abundance)",—,—,—,exuberance,exuberantia,—,perissos (περισσός),exubérance,utsāha (उत्साह),—,—,—,—,Latin ex+uber=out of the udder; fertility overflowing its container; wildly productive abundance,EXUBER · UBERON · PERISOS,Latin,4
Fast,Speed / Firmness / Swiftness,"*past- (firm, fixed)",*fastaz,"fæst (firm, fixed)",fastr (firm),fast,—,—,tachys (ταχύς),—,tīvra (तीव्र),—,—,—,—,OE fæst meant firm/fixed; 'moving fast' evolved from 'holding firm to motion'; remarkable semantic shift,FAEST · FASTIR · FASTA,Germanic,1
Fecund,Fertile / Productive / Rich,"*dhē(i)- (to suckle, produce)",—,—,—,fecunde,fecundus,—,gonimos (γόνιμος),fécond,phala-dāyī (फलदायी),—,—,—,—,Latin fecundus=fruitful; same root as femina; the generative earth-principle; nature's creativity,FECUND · FECUNDIS · GONIX,Latin,2
Fecundity,Fertility / Abundance / Generativity,"*dhē(i)- (to suckle, produce)",—,—,—,fecundite,fecunditas,—,gonimotēs (γονιμότης),fécondité,phala-śakti (फलशक्ति),—,—,—,—,The quality of rich generative fertility; nature's power to produce without ceasing,FECUNDI · FECUNDIK · GONIST,Latin,4
Fellowship,Companionship / Community / Bond,*peku- (wealth) + *legh- (lie),*felagą,fēolaga,"félagi (partner, companion)",felawship,societas,—,koinōnia (κοινωνία),—,satsaṅga (सत्संग),—,—,—,—,Old Norse félagi=one who lays money together; community through shared investment and risk,FELAGI · FELAK · KOINON,Germanic/Norse,3
Festivity,Celebration / Sacred Joy,"*dhes-1 (sacred, divine)",—,—,—,festivite,festivitas,—,heortē (ἑορτή),festivité,utsava (उत्सव),—,—,—,—,Latin festum=sacred feast; festivals were originally religious; joy as sacred communal act,FESTIV · FESTUM · UTSAVE,Latin,4
Flourish,Thrive / Bloom / Prosper,"*bhel-3 (to thrive, bloom)",—,—,—,florisshen,florere,—,anthos (ἄνθος),florir,vikāsa (विकास),—,—,—,—,"Latin florere=to flower; same root as flora, flower, bloom; thriving expressed as blossoming",FLOUR · FLORIS · ANTHOS,French/Latin,2
Flourishing,Thriving / Blooming / Prospering,"*bhel-3 (to thrive, bloom)",—,—,—,florisshinge,florentia,—,euthaleia (εὐθαλεία),florissant,sampannata (संपन्नता),—,—,—,—,Present participle of flourish; the continuous ongoing state of blooming life,FLORIS · FLORENS · EUTHAL,French/Latin,3
Flow,Movement / Ease / Continuity,"*pleu- (to flow, float)",*flōaną,flowan,flóa (to flow),flowen,fluere,—,rein (ῥεῖν),—,srava (स्रव),—,—,—,—,Pure Germanic root; one of the most primary native English words; water-motion as ease,FLOW · FLOA · PLEUON,Germanic,1
Focus,Concentration / Center / Hearth,*dhegwh- (to burn),—,—,—,focus,focus (hearth),—,hestia (ἑστία),—,kendra (केन्द्र),—,—,—,—,"Latin focus=hearth, fireplace; the center-fire; where all attention converges and burns",FOCUS · FOCAS · HESTIX,Latin,2
Foresight,Vision / Planning / Prescience,*sek-2 (to see),*fura + *segwiz,foresēon,framsȳn,foresight,providentia,—,pronoia (πρόνοια),prévoyance,dūradarśitā (दूरदर्शिता),—,—,—,—,Germanic compound; fore+sight=seeing before; direct Old English seeing-ahead,FORESEE · FORSIHT · PRONOX,Germanic,2
Fortitude,Courage / Inner Strength,"*bhergh-2 (high, elevated)",—,—,—,fortitude,fortitudo,—,andreia (ἀνδρεία),fortitude,dhairya (धैर्य),—,—,—,—,Latin fortis=strong; fortitude=the inner mountain; strength as the quality of an elevated thing,FORTIT · FORTIS · ANDREI,Latin,3
Fruition,Fulfillment / Enjoyment / Harvest,"*bhrug-1 (to enjoy, use)",—,—,—,fruicion,—,fruitio,apolausis (ἀπόλαυσις),fruition,phala-prāpti (फलप्राप्ति),—,—,—,—,Latin frui=to enjoy the fruit; fruition=the tasting/enjoying of the result; realization as savoring,FRUIT · FRUITIO · APOLAUN,Latin,3
Fulfillment,Completion / Satisfaction / Full,*pleh₁- (to fill),*fullaz + *fullijaną,fulfyllan,fullnægja (to satisfy),fulfillment,complementum,—,plērōma (πλήρωμα),—,tripti (तृप्ति),—,—,—,—,Germanic compound; full+fill=to fill fully; the satisfying completion of a container,FULFILL · FULLNAS · PLEROM,Germanic,3
Fusion,Merging / Union / Blending,*gheu- (to pour),—,—,—,fusioun,fusio,—,krasis (κρᾶσις),fusion,saṃyoga (संयोग),—,—,—,—,Latin fundere=to pour; fusion=the pouring together of two substances into one new thing,FUSIO · FUNDIS · KRASIS,Latin,2
Galvanize,Activate / Electrify / Energize,—,—,—,—,galvanize,—,—,—,galvaniser,—,—,—,—,—,From Luigi Galvani (1737-1798); to stimulate as if by electric current; shock into action,GALVAN · GALVIR · VOLTIS,Proper noun/Italian,3
Generation,Birth / Creation / Era,"*gen- (to give birth, beget)",—,—,—,generacioun,generatio,—,genesis (γένεσις),génération,jananā (जनन),—,—,—,—,Latin generare=to beget; generatio=a begetting; simultaneously a birth and a span of time,GENERAT · GENERIS · GENON,Latin,4
Genesis,Origin / Beginning / First Cause,"*gen- (to give birth, beget)",—,—,—,genesis,genesis,—,genesis (γένεσις),genèse,ādi (आदि),—,—,bərēʾšīt (בְּרֵאשִׁית),—,"Greek directly; genesis=origin, beginning, the first creation; Hebrew parallel",GENES · GENESOS · ARCHE,Greek,3
Genius,Spirit / Talent / Creative Intelligence,"*gen- (to give birth, beget)",—,—,—,genius,genius (guardian spirit),—,daimōn (δαίμων),génie,pratibhā (प्रतिभा),—,—,—,—,Latin genius=spirit born with a person; one's personal divine creative attendant,GENIUS · GENIOS · DAIMON,Latin,3
Germinal,Seed / Beginning / Generative,*gen- (to give birth),—,—,—,germinal,germinalis,—,spermatikos (σπερματικός),germinal,bīja (बीज),—,—,—,—,"Latin germen=sprout, bud; germinal=of the first seed stage; the potential held in the seed",GERMIN · GERMIS · SPERMIK,Latin,3
Gestalt,Whole Form / Unified Pattern,"*stel-2 (to put, stand)",—,—,—,—,—,—,holon (ὅλον),—,pūrṇa-rūpa (पूर्णरूप),—,—,—,—,"German Gestalt=form, shape; the organized whole perceived as more than its parts",GESTALT · STELLEN · HOLON,German,2
Glory,Honor / Radiance / Fame,"*gno- (to know, fame)",—,—,—,glorie,gloria,—,doxa (δόξα),gloire,yaśas (यशस्),majd (مجد),—,—,—,"Latin gloria=fame, renown; Greek doxa=glory and opinion; the shining reputation",GLORI · GLORIS · DOXON,Latin,2
Grandeur,Greatness / Magnificence,*meg- (great),—,—,—,grandeur,grandis,—,megaloprepeia (μεγαλοπρέπεια),grandeur,mahimā (महिमा),—,—,—,—,French grandeur from Latin grandis=great; the quality of impressively great scale,GRAND · GRANDIS · MEGALO,French/Latin,2
Groundbreaking,Pioneering / First / Inaugural,"*ghrendh- (to rub, grind)",*grunduz + *brekaną,grund + brecan,grund + brjóta,groundbreking,—,—,—,—,—,—,—,—,—,Germanic compound; literally breaking new ground; the first penetration of virgin soil,GRUNDBR · GRUNDER · BREKEN,Germanic,4
Guardianship,Protection / Stewardship / Watch,"*wer-4 (to perceive, watch)",*wardaną,weardian,varða (to guard),guardienship,—,guardiania,phulakē (φυλακή),gardein,rakṣakī (रक्षकी),—,—,—,—,Frankish/Germanic wardōn; the trusted office of watching over and protecting another,GUARD · WARDAN · PHYLAK,Germanic/French,4
Harmony,Agreement / Concord / Balance,"*ar-2 (to fit, join)",—,—,—,harmonye,harmonia,—,harmonia (ἁρμονία),harmonie,sāmarasya (सामरस्य),—,—,—,—,"Greek harmonia=joint, agreement; harmos=a joining; the fitting together of disparate parts",HARMON · HARMIS · SAMRAS,Greek,3
Hero,Champion / Guardian / Warrior,"*ser-1 (to watch over, protect)",—,—,—,hereo,heros,—,hērōs (ἥρως),héros,vīra (वीर),—,—,—,—,Greek hērōs; may link to Hera (protector) or *ser- (to protect); the guardian-warrior archetype,HEROS · HEROIK · VIRON,Greek,2
Illuminate,Light / Reveal / Enlighten,"*leuk- (light, brightness)",—,—,—,illuminen,illuminare,—,phōtizein (φωτίζειν),illuminer,prakāśita (प्रकाशित),—,—,—,—,Latin in+lumen=to put light into; making visible what was dark; the lamp as mind,ILLUMIN · LUMINE · PHOTIZ,Latin,4
Illumination,Light / Understanding / Revelation,"*leuk- (light, brightness)",—,—,—,illuminacioun,illuminatio,—,phōtismos (φωτισμός),illumination,prakāśa (प्रकाश),—,—,—,—,Noun of illuminate; the state or completed act of bringing light into darkness,ILLUMIN · LUMINOS · PHOTIS,Latin,5
Illustrious,Distinguished / Brilliant / Renowned,"*leuk- (light, brightness)",—,—,—,illustrious,illustris,—,lampros (λαμπρός),illustre,yaśasvī (यशस्वी),—,—,—,—,"Latin illustris=bright, distinguished; one who shines with earned distinction",ILLUSTR · LUSTRIS · LAMPR,Latin,4
Impregnable,Unconquerable / Inviolable,*ghend- (to seize),—,—,—,impregnable,inexpugnabilis,—,aheires (ἄεirεs),imprenable,abhejya (अभेद्य),—,—,—,—,Old French in+prenable=not-takeable; a fortress no force can seize or penetrate,IMPREG · PRENAB · AHALOT,French/Latin,4
Individuation,Self / Becoming Whole / Distinct,"*weidh- (to divide, separate)",—,—,—,individuacioun,—,individuatio,idiōsis (ἰδίωσις),individuation,svayambhava (स्वयंभव),—,—,—,—,Jung's term; Latin individuum=undivided; paradoxically: separating to become whole self,INDIVID · INDIVIDUAK · IDIOM,Latin,6
Indomitable,Unconquerable / Fierce / Unbroken,"*dem-2 (to constrain, force)",—,—,—,indomitable,indomitabilis,—,akatamaston (ἀκατάμαστον),—,ajeya (अजेय),—,—,—,—,Latin in+domitare=not-tameable; the spirit that refuses to be broken or domesticated,INDOMIT · DOMINUS · AJEYN,Latin,4
Infinite,Endless / Boundless / Without Limit,"*dheigh- (to form, build) neg.",—,—,—,infinite,infinitus,—,apeiron (ἄπειρον),infini,ananta (अनन्त),—,—,—,—,Latin in+finis=no-end; Greek apeiron=unbounded; the limitless as a positive quality,INFIN · INFINIT · APEIRON,Latin,3
Ingenuity,Cleverness / Invention / Native Wit,"*gen- (to give birth, beget)",—,—,—,ingeniousite,ingeniositas,—,mechanē (μηχανή),ingéniosité,pratibhā (प्रतिभा),—,—,—,—,"Latin ingenium=inborn talent; ingenuus=native, free-born; the spark that is one's native gift",INGENU · INGENIUM · MECHAN,Latin,4
Inimitable,Matchless / Unique / Uncopied,*aim- (to copy),—,—,—,inimitable,inimitabilis,—,anamimētos (ἀναμίμητος),inimitable,atulyā (अतुल्य),—,—,—,—,Latin in+imitabilis=cannot-be-copied; so singular that imitation is impossible,INIMIT · IMITAB · ANAMIM,Latin,4
Innovation,Renewal / New Making / Invention,*newo- (new),—,—,—,innovacioun,innovatio,—,kainotomia (καινοτομία),innovation,nava-sṛjana (नवसृजन),ibtikār (ابتكار),—,—,—,Latin in+novus=renewing into new; Greek kainotomia=cutting new ground,INNOV · NOVATIO · KAINOT,Latin,4
Insight,Understanding / Direct Vision,"*sek-2 (to see, follow)",*segwiz,innsihþ,innsýni (insight),insight,perspicacia,—,dioratikotēs (διορατικότης),—,antarjñāna (अन्तर्ज्ञान),—,—,—,—,Germanic sight-prefix; seeing into the inside of things; the direct vision of what lies within,INSYHT · SIHTHE · INNSIHN,Germanic,2
Inspiration,Breath / Creativity / Divine Breath,"*speis- (to blow, breathe)",—,—,—,inspiracioun,inspiratio,—,enthousiosmos (ἐνθουσιασμός),inspiration,prāṇaśakti (प्राणशक्ति),—,—,—,—,Latin in+spirare=to breathe into; the divine breath blown into the creative artist,INSPIR · SPIRARE · ENTHUS,Latin,4
Inspire,Breathe Into / Motivate / Awaken,"*speis- (to blow, breathe)",—,—,—,inspiren,inspirare,—,empsuchoun (ἐμψυχοῦν),inspirer,prāṇita (प्राणित),—,—,—,—,Latin in+spirare=to breathe divine breath into; to fill another with living spirit,INSPIR · SPIRANT · EMPSY,Latin,2
Integration,Wholeness / Unity / Making Whole,"*tag- (to touch, handle)",—,—,—,integracioun,integratio,—,holoklerōsis (ὁλοκλήρωσις),intégration,samāgrahana (समाग्रहण),—,—,—,—,"Latin integer=whole, untouched; integration=making whole by touching all parts together",INTEGR · INTEGRIS · HOLOK,Latin,4
Intellect,Mind / Understanding / Discernment,"*leg-1 (to gather, choose)",—,—,—,intellect,intellectus,—,nous (νοῦς),intellect,buddhi (बुद्धि),—,—,—,—,"Latin inter+legere=to choose between; the discerning, selecting faculty of the rational mind",INTELLECT · LECTUS · NOUST,Latin,3
Interconnected,Linked / Networked / Woven,"*ned- (to bind, knot)",—,—,—,interconnected,connexio,—,allēlosyndetē (ἀλληλοσύνδετη),—,parasparasambaddha (परस्परसम्बद्ध),—,—,—,—,Modern compound; the mutual knotting of all things within a network of relationship,INTERCONN · NEXION · ALLEL,Latin,5
Intuition,Direct Knowing / Inner Sight,*teu-2 (to pay attention to),—,—,—,intuicioun,intuitio,—,aisthēsis (αἴσθησις),intuition,anubhava (अनुभव),—,—,—,—,Latin in+tueri=to gaze within; the direct inward gazing that bypasses discursive reasoning,INTUIT · TUERIS · AISTH,Latin,4
Invigorate,Energize / Strengthen / Animate,"*weg-1 (to be strong, lively)",—,—,—,invigoraten,—,invigorare,tonōsis (τόνωσις),—,ojasvī (ओजस्वी),—,—,—,—,Latin in+vigor=to put vigor into; charging a body with life-force from without,INVIG · VIGORIS · TONOS,Latin,4
Joy,Happiness / Delight / Gladness,*gau- (to rejoice),—,—,—,joie,gaudium,—,chara (χαρά),joie,ānanda (आनन्द),—,—,—,—,Old French joie from Latin gaudium; Greek chara shares the same warmth and intimacy,JOY · JOIE · CHARON,French/Latin,1
Jubilation,Rejoicing / Exultation / Triumph,*yu-1 (to shout for joy),—,—,—,jubilacion,jubilatio,—,agalliasis (ἀγαλλίασις),jubilation,harṣodbhava (हर्षोद्भव),—,—,yōbēl (יוֹבֵל),—,Latin jubilare=to shout for joy; Hebrew yōbēl=ram's horn (jubilee trumpet); joy as sacred shout,JUBIL · JUBILATE · AGALL,Latin/Hebrew,4
Kinship,Family / Belonging / Blood-bond,"*gen- (to give birth, beget)",*kunją,"cynn (family, kin)",kyn (kin),kinship,genus,—,syngeneia (συγγένεια),—,jñāti (ज्ञाति),—,—,—,—,Pure Old English/Norse cynn; the blood-bond of family; birth as the original bond,KYNN · KYNJE · SYNGEN,Germanic,2
Knowledge,Understanding / Wisdom / Knowing,*gno- (to know),*knēaną,cnāwan (to know),kenna (to know),knowleche,cognitio,—,gnōsis (γνῶσις),connaissance,jñāna (ज्ञान),—,—,—,—,"Germanic cnāwan; same PIE root as Greek gnosis, Latin cognitio; the most direct knowing",KNOWL · KNAWEN · GNOSIS,Germanic,2
Lambent,Softly Glowing / Flickering Light,*lab- (to lick),—,—,—,lambent,lambere,—,stilbōn (στίλβων),—,—,—,—,—,—,Latin lambere=to lick; light that licks and plays softly over a surface; the gentlest radiance,LAMBEN · LAMBA · STILBON,Latin,2
Largesse,Generosity / Abundance / Noble Giving,"*sleg- (loose, slack)",—,—,—,largesse,largus (abundant),—,megalodōria (μεγαλοδωρία),largesse,audārya (औदार्य),—,—,—,—,"Latin largus=abundant, plentiful; the noble giving of abundance with open hands",LARG · LARGIS · MEGALDO,French/Latin,2
Legacy,Heritage / Inheritance / What Endures,"*leg-1 (to gather, collect)",—,—,—,legacie,legatum,—,klēronomia (κληρονομία),legs,parampara (परम्परा),—,—,—,—,"Latin legare=to send, bequeath; what is gathered and sent forward through time",LEGAC · LEGATUM · KLEROM,Latin,3
Liberation,Freedom / Release / Emancipation,"*leudh-2 (to mount up, grow)",—,—,—,liberacioun,liberatio,—,eleutherōsis (ἐλευθέρωσις),libération,mokṣa (मोक्ष),—,—,—,—,Latin liber=free; the free person as one who grows upward; freedom as organic growth,LIBER · LIBERIS · ELEUTHER,Latin,4
Life,Living / Existence / Vitality,"*leip- (to stick, adhere; persist)",*lībą,lif,líf,lyf,vita,—,zōē (ζωή),—,jīvana (जीवन),—,—,hayyim (חַיִּים),bith (Old Irish),Pure Old English; the most primary word; the root of all living and surviving,LIF · LYFE · ZOEN,Germanic,1
Lifeforce,Vital Energy / Animating Power,*leip- + *bhergh-,*lībą + *kraftiz,lif + cræft,líf + kraptr,lyfforce,vita + vis,—,zōē + dynamis,—,prāṇa (प्राण),—,—,—,—,Germanic compound; the force that animates all living matter; parallel to Sanskrit prāṇa,LIFECR · LYFKR · ZOEDYN,Germanic,2
Lucent,Glowing / Clear / Shining,"*leuk- (light, brightness)",—,—,—,lucent,lucens,—,lampros (λαμπρός),luisant,prakāśa (प्रकाश),—,—,—,—,"Latin lucere=to shine; lucent=actively shining with clear, translucent light",LUCEN · LUCIS · LAMPROS,Latin,2
Luminary,Leader / Light-giver / Beacon,"*leuk- (light, brightness)",—,—,—,luminarie,—,luminarium,phōstēr (φωστήρ),luminaire,jyotiṣa (ज्योतिष),—,—,—,—,Medieval Latin luminarium; a body that gives light; extended to mean one who illuminates minds,LUMIN · LUMINAR · PHOTER,Latin,4
Luminosity,Radiance / Brightness / Glow,"*leuk- (light, brightness)",—,—,—,luminosite,luminosus,—,phōteinos (φωτεινός),luminosité,dīptimattā (दीप्तिमत्ता),—,—,—,—,Latin luminosus=full of light; the measurable quality and intensity of light output,LUMINOS · LUMINIK · PHOTIN,Latin,5
Magnanimity,Great-spiritedness / Generosity of Soul,*meg- (great) + *ane-1 (breathe),—,—,—,magnanymyte,magnanimitas,—,megalopsychia (μεγαλοψυχία),magnanimité,mahattva (महत्त्व),—,—,—,—,Latin magnus+animus=great-souled; Aristotle's megalopsychia=the ideal greatness of the proper soul,MAGNAN · MAGNANIMIS · MEGALO,Latin,5
Magnificence,Splendor / Greatness / Grandeur,*meg- (great),—,—,—,magnificence,magnificentia,—,megaloprepeia (μεγαλοπρέπεια),magnificence,mahiman (महिमन्),—,—,—,—,Latin magnus+facere=to make great; the making or showing of greatness in visible form,MAGNIFIC · MAGNIFIS · MEGALPRE,Latin,4
Majesty,Greatness / Dignity / Sovereign Power,*meg- (great),—,—,—,majeste,majestas,—,megaleiotes (μεγαλειότης),majesté,prabhāva (प्रभाव),—,—,—,—,Latin majestas from major=greater; formal greatness of sovereign power and presence,MAJESTAS · MAJESTIS · MEGALIS,French/Latin,3
Manifest,Evident / Made Real / Visible,*man-2 (hand) + *dhers-,—,—,—,manifeste,manifestus,—,emphanēs (ἐμφανής),manifeste,pratyakṣa (प्रत्यक्ष),—,—,—,—,Latin manus+festus=struck by hand; caught in the act; made tangibly undeniable,MANIF · MANIFES · EMPHANE,Latin,3
Manna,Divine Gift / Miraculous Sustenance,—,—,—,—,manna,manna,—,manna (μάννα),manne,—,mann (مَنّ),—,mānnā (מָן),—,Hebrew mānnā='What is it?'; the miraculous food; the gift that comes without explanation,MANNA · MANNO · MANNIS,Hebrew,2
Mastery,Skill / Command / Excellence,*meg- (great),—,—,—,maistrie,magisterium,—,archē (ἀρχή),maîtrise,niṣṇātatā (निष्णातता),—,—,—,—,Latin magister=great-one (mag+ister); mastery=being the great one; excellence of command,MAISTRE · MAGIST · ARCHON,French/Latin,3
Metamorphic,Transforming / Changing Form,*wer-3 (to turn) + *morph-,—,—,—,metamorphik,—,—,metamorphikos (μεταμορφικός),métamorphique,rūpāntarita (रूपान्तरित),—,—,—,—,Greek meta+morphē=beyond-form; transformation through change of essential shape,METAMOR · MORPHON · RUPANT,Greek,4
Miraculous,Wonderful / Astonishing / Beyond Nature,"*smei- (to smile, be amazed)",—,—,—,miraculouse,—,miraculosus,thaumasios (θαυμάσιος),miraculeux,atiśaya (अतिशय),—,—,—,—,Latin mirari=to wonder at; mirus=wonderful; wonder that exceeds natural explanation,MIRACUL · MIRANDUS · THAUMAS,Latin,4
Mobilize,Activate / Put in Motion,"*meue-1 (to push away, move)",—,—,—,mobilisen,mobilis,—,kinēsis (κίνησις),mobiliser,sacal (सचल),—,—,—,—,Latin mobilis=movable; from movere=to move; the act of putting into coordinated motion,MOBIL · MOBILAK · KINESIS,French/Latin,3
Moksha,Liberation / Spiritual Freedom,*√muc (to release),—,—,—,—,—,—,—,—,mokṣa (मोक्ष),—,—,—,—,Sanskrit root √muc=to release; the final liberation from the cycle of existence; ultimate freedom,MOKSHA · MUKTIS · MOKSHIN,Sanskrit,2
Momentum,Force / Impetus / Movement,"*meue-1 (to push away, move)",—,—,—,momentum,momentum,—,ormē (ὁρμή),—,āvega (आवेग),—,—,—,—,"Latin momentum=movement, influence; mass × velocity of a moving body or a building idea",MOMENT · MOMENTIS · ORMEON,Latin,3
Munificence,Generous Giving / Largesse,"*mei-1 (to change, exchange)",—,—,—,munificence,munificentia,—,philodōria (φιλοδωρία),munificence,audārya (औदार्य),—,—,—,—,Latin munus+facere=to make/give gifts as duty; generosity as a noble obligation,MUNIFIC · MUNERIS · PHILOD,Latin,4
Mutualism,Reciprocity / Interdependence,"*mei-1 (to change, exchange)",—,—,—,mutualisme,mutuus (reciprocal),—,allēlepidrasis (ἀλληλεπίδραση),mutualisme,parasparāyatana (परस्परायतन),—,—,—,—,Latin mutare=to exchange; mutuus=reciprocal; mutual exchange as ecological principle,MUTUAL · MUTUAK · ALLEL,Latin,4
Nirvana,Extinction / Bliss / Peace,*wē-2 (to blow) + nir- (out),—,—,—,—,—,—,—,—,nirvāṇa (निर्वाण),—,—,—,—,Sanskrit nir+vā=blown out; the extinguishing of the ego-flame; ultimate peace beyond desire,NIRVAN · NIRVANI · SANTHIS,Sanskrit,3
Noosphere,Mind-sphere / Collective Consciousness,*gnō- (to know) + *sphairo-,—,—,—,—,—,—,noos + sphaira (νόος + σφαῖρα),noosphère,—,—,—,—,—,Coined by Teilhard de Chardin; Greek noos (mind) + sphaira (sphere); the sphere of human thought,NOOSPH · NOIKON · GNOMON,Greek (modern),3
Nourishment,Feeding / Sustaining / Growing,"*pa- (to protect, feed)",—,—,—,norissement,nutrimentum,—,trophē (τροφή),nourriture,poṣaṇa (पोषण),—,—,—,—,"Latin nutrire=to suckle, nourish; the feeding that sustains and enables growth",NOURIS · NUTRIT · TROPHON,French/Latin,3
Olympian,Divine / Supreme / Godlike / Transcendent,—,—,—,—,olimpian,—,—,Olympios (Ὀλύμπιος),olympien,deva-sama (देवसम),—,—,—,—,"From Mount Olympus, home of the gods; the divine, sky-dwelling, unbound power",OLYMP · OLIMPOS · DEVON,Greek,4
Optimism,Hope / Best-expectation / Positive Vision,"*op-1 (to work, produce)",—,—,—,optimisme,optimum (the best),—,elpis (ἐλπίς),optimisme,āśāvāda (आशावाद),—,—,—,—,Latin optimus=best; the philosophical belief that the best outcome is probable,OPTIM · OPTIMIS · ELPIST,Latin,4
Optimization,Perfecting / Best-making / Refining,"*op-1 (to work, produce)",—,—,—,—,—,optimizare,—,optimisation,sarvottamatā (सर्वोत्तमता),—,—,—,—,Making the best possible version; extracting the maximum from a given set of conditions,OPTIMA · OPTIMAK · ARISTON,Latin,5
Orchestration,Coordination / Arrangement / Choreography,*orkh- (to dance),—,—,—,orchestracioun,—,—,orkhēstra (ὀρχήστρα),orchestration,—,—,—,—,—,Greek orkhesthai=to dance; orchestra=dancing place; coordination as choreography of parts,ORCHEST · ORKHEON · ARKHOS,Greek,4
Organisms,Living Systems / Life-forms,*werg-1 (to work) via organon,—,—,—,organismes,—,—,organismos (ὀργανισμός),organismes,jīva (जीव),—,—,—,—,"Greek organon=instrument, tool; organism=a living instrument that works itself",ORGAN · ORGANIS · JIVON,Greek,4
Overcome,Conquer / Prevail / Surmount,*uper- (over) + *gwa- (to go),*uber + *kwemaną,ofercuman,yfir-koma,overcome,—,—,—,—,vijaya (विजय),—,—,—,—,Pure Old English/Germanic compound; to come over something; to prevail through presence,OVERCUM · YFIRKOMA · UBERK,Germanic,3
Panacea,Universal Cure / Total Solution,*pant- (all) + *ak- (heal),—,—,—,panacea,panacea,—,panakeia (πανάκεια),panacée,sarvauṣadha (सर्वौषध),—,—,—,—,Greek pan+akeia=all-healing; the mythical herb that cures every ill; the perfect solution,PANAC · AKEIA · SARVOSH,Greek,4
Panache,Flair / Style / Bold Elegance,"*pet-1 (to rush, fly)",—,—,—,—,—,—,—,panache (plume),—,—,—,—,—,French from Italian pennacchio=plume; the helmet-feather as symbol of daring and vivid style,PANACH · PENNAC · PLUMER,French/Italian,2
